letter;weight_I;relative_weight_I;weight_II;relative_weight_II;weight_III;relative_weight_III;weight_IV;relative_weight_IV;total_weight;relative_total_weight;center_y;center_x;relative_center_y;relative_center_x;inertia_y;inertia_x;relative_inertia_y;relative_inertia_x;profile_x;profile_y
a;37.34117647058824;0.02333823529411765;100.05882352941177;0.06253676470588236;99.07058823529412;0.061919117647058826;135.6392156862745;0.08477450980392157;372.10980392156864;0.0581421568627451;42.31645729702386;42.91670179580136;0.5289557162127982;0.5364587724475169;19348.492592133392;29062.844785431244;0.00047237530742513166;0.0007095421090193175;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.011764705882353;10.364705882352942;16.12549019607843;18.662745098039217;19.51764705882353;15.443137254901961;13.627450980392156;12.937254901960785;12.450980392156863;12.270588235294118;12.105882352941176;12.031372549019608;11.976470588235294;12.023529411764706;12.149019607843137;12.407843137254902;12.850980392156863;13.60392156862745;15.011764705882353;22.819607843137256;26.27843137254902;25.24313725490196;23.733333333333334;21.03921568627451;2.4235294117647057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.180392156862744;15.058823529411764;18.027450980392157;19.101960784313725;12.24705882352941;6.901960784313726;4.96078431372549;4.662745098039216;4.4941176470588236;4.4980392156862745;4.533333333333333;15.678431372549019;19.054901960784314;20.749019607843138;21.83529411764706;12.79607843137255;10.466666666666667;9.83921568627451;9.717647058823529;9.8;10.101960784313725;10.568627450980392;11.321568627450981;12.384313725490196;14.086274509803921;17.16470588235294;21.15686274509804;19.270588235294117;16.576470588235296;6.874509803921568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
b;135.41960784313724;0.08463725490196078;90.12156862745098;0.05632598039215687;97.93333333333334;0.06120833333333334;109.56470588235294;0.06847794117647059;433.03921568627453;0.0676623774509804;38.89297713380122;40.581752320579575;0.4861622141725152;0.5072719040072446;30853.412670297912;52045.785112812795;0.0007532571452709451;0.001270649050605781;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.294117647058824;40.0;40.0;40.0;40.0;25.4;10.886274509803922;9.250980392156864;8.458823529411765;8.062745098039215;7.854901960784313;7.776470588235294;7.862745098039215;7.952941176470588;8.211764705882352;8.525490196078431;9.011764705882353;9.768627450980393;10.862745098039216;12.568627450980392;15.741176470588234;23.431372549019606;22.741176470588236;19.95294117647059;16.40392156862745;10.572549019607843;0.4470588235294118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;11.113725490196078;15.952941176470588;18.643137254901962;20.607843137254903;17.149019607843137;14.262745098039217;12.807843137254903;11.780392156862746;11.058823529411764;10.580392156862745;10.145098039215686;9.95686274509804;9.717647058823529;9.631372549019607;9.584313725490196;9.584313725490196;9.631372549019607;9.717647058823529;9.95686274509804;10.145098039215686;10.576470588235294;11.047058823529412;11.768627450980393;12.776470588235295;14.24313725490196;17.11764705882353;20.623529411764707;18.658823529411766;15.972549019607843;6.462745098039216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
c;58.6;0.036625;54.48235294117647;0.034051470588235294;78.37647058823529;0.04898529411764706;54.529411764705884;0.034080882352941176;245.98823529411766;0.038435661764705885;41.51076888740096;39.77741642354966;0.5188846110925119;0.49721770529437076;10135.99328668863;25092.927355359065;0.0002474607736007966;0.0006126202967616959;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2196078431372549;9.60392156862745;15.349019607843138;18.84313725490196;21.431372549019606;22.729411764705883;15.776470588235295;12.423529411764706;10.788235294117648;9.811764705882354;9.086274509803921;8.64313725490196;8.368627450980393;8.08235294117647;8.066666666666666;7.984313725490196;7.976470588235294;7.956862745098039;7.972549019607843;7.984313725490196;7.996078431372549;8.007843137254902;8.007843137254902;2.8784313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6156862745098035;13.976470588235294;16.83921568627451;18.058823529411764;12.341176470588236;7.564705882352941;5.850980392156862;5.47843137254902;5.2784313725490195;5.137254901960785;5.007843137254902;5.007843137254902;4.925490196078432;4.913725490196079;4.921568627450981;4.91764705882353;4.913725490196079;4.925490196078432;5.007843137254902;5.0;5.133333333333334;5.262745098039216;5.466666666666667;5.8431372549019605;7.549019607843137;12.309803921568628;18.070588235294117;16.88235294117647;14.050980392156863;7.737254901960784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ç;68.43529411764706;0.04277205882352941;54.48235294117647;0.034051470588235294;71.76470588235294;0.04485294117647059;100.52156862745097;0.06282598039215687;295.20392156862744;0.046125612745098035;42.91430317361213;40.593288786747614;0.5364287896701516;0.5074161098343452;11515.318154882609;42485.21635205087;0.00028113569714068867;0.001037236727344992;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2196078431372549;9.60392156862745;15.349019607843138;18.84313725490196;21.431372549019606;22.729411764705883;15.776470588235295;12.423529411764706;10.788235294117648;13.035294117647059;12.149019607843137;11.635294117647058;11.333333333333334;11.184313725490195;11.584313725490196;13.968627450980392;16.643137254901962;16.176470588235293;13.952941176470588;9.486274509803922;7.996078431372549;8.007843137254902;8.007843137254902;2.8784313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6156862745098035;13.976470588235294;16.83921568627451;18.058823529411764;12.341176470588236;7.564705882352941;5.850980392156862;5.47843137254902;5.2784313725490195;5.137254901960785;5.007843137254902;5.007843137254902;4.925490196078432;4.913725490196079;4.921568627450981;4.91764705882353;4.913725490196079;4.925490196078432;5.007843137254902;5.0;5.133333333333334;5.262745098039216;5.466666666666667;5.8431372549019605;7.549019607843137;12.309803921568628;18.070588235294117;16.88235294117647;14.050980392156863;8.109803921568627;3.207843137254902;3.2862745098039214;3.3450980392156864;3.4705882352941178;3.7411764705882353;5.807843137254902;10.062745098039215;9.345098039215687;6.576470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
d;69.67450980392157;0.04354656862745098;154.80392156862746;0.09675245098039216;88.94117647058823;0.05558823529411765;117.5921568627451;0.07349509803921568;431.01176470588234;0.06734558823529412;38.898223969137824;43.449448629763076;0.4862277996142228;0.5431181078720384;30603.0358297528;51825.5903267403;0.0007471444294373242;0.0012652732013364331;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2627450980392157;10.172549019607843;16.223529411764705;19.819607843137256;22.63921568627451;23.32941176470588;15.627450980392156;12.466666666666667;10.792156862745099;9.749019607843136;9.007843137254902;8.525490196078431;8.215686274509803;7.956862745098039;7.866666666666666;7.788235294117647;7.870588235294117;8.094117647058823;8.505882352941176;9.301960784313726;10.901960784313726;24.6;40.0;40.0;40.0;40.0;11.294117647058824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;4.674509803921569;11.086274509803921;15.905882352941177;18.6;20.56078431372549;17.098039215686274;14.215686274509803;12.749019607843136;11.72156862745098;11.0;10.513725490196078;10.070588235294117;9.886274509803922;9.650980392156862;9.564705882352941;9.509803921568627;9.51764705882353;9.564705882352941;9.650980392156862;9.886274509803922;10.070588235294117;10.505882352941176;10.984313725490196;11.701960784313725;12.72549019607843;14.192156862745097;17.070588235294117;20.576470588235296;18.615686274509805;15.933333333333334;6.462745098039216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
e;65.10588235294118;0.04069117647058824;98.72941176470589;0.06170588235294118;97.27843137254902;0.06079901960784314;109.4235294117647;0.06838970588235294;370.5372549019608;0.05789644607843138;41.061204186819346;41.88916993872173;0.5132650523352418;0.5236146242340216;21569.213284699195;27640.615906618135;0.0005265921212084764;0.0006748197242826693;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21568627450980393;9.494117647058824;15.188235294117646;18.68235294117647;21.254901960784313;22.99607843137255;18.533333333333335;15.623529411764705;14.184313725490195;13.4;12.811764705882354;12.450980392156863;12.270588235294118;12.08235294117647;12.011764705882353;11.996078431372549;11.992156862745098;12.133333333333333;12.266666666666667;12.580392156862745;13.066666666666666;13.941176470588236;16.40392156862745;16.63921568627451;15.48235294117647;13.964705882352941;7.996078431372549;0.8745098039215686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.243137254901961;12.91764705882353;16.090196078431372;18.40392156862745;14.352941176470589;11.458823529411765;10.376470588235295;9.75686274509804;9.462745098039216;9.321568627450981;9.270588235294118;9.341176470588236;25.83921568627451;26.211764705882352;26.294117647058822;26.32156862745098;4.847058823529411;4.901960784313726;4.964705882352941;5.011764705882353;5.094117647058823;5.2745098039215685;5.447058823529412;6.776470588235294;9.494117647058824;14.529411764705882;20.71372549019608;18.466666666666665;14.494117647058824;7.858823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
f;63.996078431372545;0.03999754901960784;122.03529411764706;0.07627205882352942;37.52156862745098;0.023450980392156862;37.772549019607844;0.023607843137254902;261.3254901960784;0.040832107843137254;32.73740208289565;40.92507278129596;0.4092175260361956;0.5115634097661995;3480.3172094000424;32492.681564896437;8.496868187011822e-05;0.0007932783585179794;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2627450980392156;4.0;4.0;4.0;13.803921568627452;35.29803921568627;37.15294117647059;38.17254901960784;38.84705882352941;20.56078431372549;8.627450980392156;8.196078431372548;8.027450980392157;7.996078431372549;8.0;8.0;8.0;4.188235294117647;1.192156862745098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.890196078431373;10.345098039215687;11.52156862745098;12.254901960784315;5.862745098039215;4.921568627450981;4.705882352941177;4.674509803921569;4.658823529411765;4.686274509803922;4.705882352941177;4.705882352941177;16.862745098039216;16.862745098039216;16.862745098039216;16.862745098039216;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
g;79.58823529411765;0.04974264705882353;106.89411764705882;0.06680882352941177;108.30980392156863;0.0676936274509804;179.6705882352941;0.11229411764705882;474.46274509803925;0.07413480392156863;43.92305021985652;42.54969087843423;0.5490381277482065;0.5318711359804278;30176.557876230792;67291.0101864583;0.0007367323700251658;0.0016428469283803295;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24313725490196078;9.937254901960785;15.83529411764706;19.333333333333332;25.415686274509802;27.32941176470588;19.611764705882354;16.48235294117647;14.717647058823529;13.670588235294117;12.913725490196079;12.407843137254902;12.184313725490195;12.003921568627451;11.909803921568628;11.941176470588236;12.129411764705882;12.454901960784314;13.109803921568627;14.309803921568628;16.819607843137256;28.023529411764706;35.86666666666667;34.73725490196078;33.141176470588235;30.427450980392155;7.5058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.337254901960784;15.968627450980392;18.729411764705883;20.694117647058825;17.03921568627451;14.058823529411764;12.533333333333333;11.533333333333333;10.843137254901961;10.345098039215687;9.984313725490196;9.792156862745099;9.584313725490196;9.541176470588235;9.498039215686275;9.533333333333333;9.580392156862745;9.788235294117648;9.980392156862745;10.337254901960785;10.83529411764706;11.529411764705882;12.529411764705882;14.058823529411764;17.019607843137255;20.686274509803923;18.690196078431374;15.952941176470588;11.03921568627451;4.686274509803922;4.7215686274509805;4.909803921568628;5.094117647058823;5.458823529411765;7.337254901960784;12.258823529411766;18.5921568627451;17.474509803921567;15.874509803921569;10.011764705882353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ğ;101.27450980392157;0.06329656862745098;144.08235294117648;0.0900514705882353;108.30980392156863;0.0676936274509804;179.6705882352941;0.11229411764705882;533.3372549019608;0.08333394607843138;40.75737678399423;42.4910478599422;0.5094672097999279;0.5311380982492775;31452.138630468544;110560.86730094689;0.0007678744782829235;0.0026992399243395237;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24313725490196078;9.937254901960785;15.83529411764706;19.333333333333332;25.415686274509802;27.32941176470588;20.16862745098039;19.909803921568628;19.59607843137255;19.08627450980392;16.91764705882353;15.811764705882354;15.329411764705883;15.074509803921568;14.929411764705883;15.007843137254902;15.266666666666667;15.843137254901961;17.007843137254902;19.619607843137256;21.749019607843138;31.564705882352943;36.549019607843135;34.73725490196078;33.141176470588235;30.427450980392155;7.5058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.12156862745098;6.450980392156863;7.1647058823529415;9.48235294117647;12.72156862745098;10.631372549019607;6.301960784313725;0.0;0.0;0.0;0.0;0.0;0.0;6.337254901960784;15.968627450980392;18.729411764705883;20.694117647058825;17.03921568627451;14.058823529411764;12.533333333333333;11.533333333333333;10.843137254901961;10.345098039215687;9.984313725490196;9.792156862745099;9.584313725490196;9.541176470588235;9.498039215686275;9.533333333333333;9.580392156862745;9.788235294117648;9.980392156862745;10.337254901960785;10.83529411764706;11.529411764705882;12.529411764705882;14.058823529411764;17.019607843137255;20.686274509803923;18.690196078431374;15.952941176470588;11.03921568627451;4.686274509803922;4.7215686274509805;4.909803921568628;5.094117647058823;5.458823529411765;7.337254901960784;12.258823529411766;18.5921568627451;17.474509803921567;15.874509803921569;10.011764705882353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
h;132.4078431372549;0.08275490196078432;87.65490196078431;0.0547843137254902;75.29411764705883;0.047058823529411764;74.7921568627451;0.04674509803921569;370.1490196078432;0.0578357843137255;36.86397635292622;40.34921812094758;0.4607997044115778;0.5043652265118448;28423.517930577746;39421.53957802047;0.0006939335432269957;0.0009624399311040154;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.294117647058824;40.0;40.0;40.0;40.0;20.32549019607843;4.486274509803922;3.996078431372549;3.819607843137255;3.780392156862745;3.780392156862745;3.823529411764706;3.9019607843137254;3.9568627450980394;4.0627450980392155;4.184313725490196;4.458823529411765;4.894117647058824;5.7254901960784315;10.172549019607843;27.341176470588234;26.478431372549018;25.266666666666666;23.32941176470588;11.070588235294117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;4.705882352941177;11.090196078431372;15.949019607843137;18.572549019607845;20.454901960784312;16.63921568627451;13.619607843137254;12.07843137254902;11.050980392156863;10.384313725490196;9.941176470588236;9.627450980392156;9.48235294117647;9.407843137254902;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;9.380392156862746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
